Date,Climate policy: (Worldwide),Climate Risk: (Worldwide)
2004-01,42,0
2004-02,88,0
2004-03,90,0
2004-04,54,0
2004-05,63,26
2004-06,55,31
2004-07,37,28
2004-08,28,0
2004-09,62,0
2004-10,63,0
2004-11,58,0
2004-12,64,31
2005-01,50,0
2005-02,68,26
2005-03,64,19
2005-04,60,0
2005-05,55,21
2005-06,39,18
2005-07,32,0
2005-08,32,0
2005-09,48,17
2005-10,62,15
2005-11,60,20
2005-12,45,0
2006-01,42,18
2006-02,52,22
2006-03,61,19
2006-04,47,28
2006-05,54,32
2006-06,39,16
2006-07,28,12
2006-08,35,0
2006-09,39,18
2006-10,60,19
2006-11,60,17
2006-12,45,16
2007-01,60,18
2007-02,71,24
2007-03,67,28
2007-04,69,25
2007-05,74,29
2007-06,73,26
2007-07,57,20
2007-08,66,29
2007-09,67,19
2007-10,90,30
2007-11,91,30
2007-12,66,23
2008-01,67,21
2008-02,77,39
2008-03,78,28
2008-04,92,32
2008-05,68,28
2008-06,68,30
2008-07,67,27
2008-08,58,25
2008-09,65,21
2008-10,85,29
2008-11,72,22
2008-12,56,21
2009-01,62,20
2009-02,70,30
2009-03,85,25
2009-04,74,30
2009-05,74,30
2009-06,68,28
2009-07,73,23
2009-08,64,19
2009-09,74,24
2009-10,96,29
2009-11,100,33
2009-12,91,31
2010-01,82,27
2010-02,83,28
2010-03,85,35
2010-04,83,30
2010-05,79,28
2010-06,59,18
2010-07,57,16
2010-08,56,20
2010-09,63,22
2010-10,64,28
2010-11,70,26
2010-12,53,20
2011-01,51,19
2011-02,59,25
2011-03,67,30
2011-04,59,24
2011-05,68,24
2011-06,51,22
2011-07,42,21
2011-08,45,20
2011-09,51,22
2011-10,56,28
2011-11,58,24
2011-12,50,16
2012-01,45,27
2012-02,50,27
2012-03,49,26
2012-04,48,23
2012-05,48,25
2012-06,39,23
2012-07,37,20
2012-08,38,18
2012-09,43,23
2012-10,51,25
2012-11,55,27
2012-12,39,21
2013-01,39,21
2013-02,44,25
2013-03,44,27
2013-04,52,25
2013-05,47,25
2013-06,39,22
2013-07,41,20
2013-08,36,21
2013-09,47,23
2013-10,48,28
2013-11,50,30
2013-12,38,21
2014-01,41,26
2014-02,45,27
2014-03,48,27
2014-04,50,27
2014-05,44,28
2014-06,41,23
2014-07,38,21
2014-08,34,21
2014-09,46,30
2014-10,53,28
2014-11,51,28
2014-12,38,23
2015-01,38,25
2015-02,45,28
2015-03,49,29
2015-04,56,30
2015-05,46,25
2015-06,37,24
2015-07,37,23
2015-08,37,21
2015-09,54,24
2015-10,54,25
2015-11,63,33
2015-12,58,30
2016-01,45,30
2016-02,58,32
2016-03,57,34
2016-04,59,35
2016-05,58,33
2016-06,43,27
2016-07,39,25
2016-08,40,25
2016-09,46,28
2016-10,58,27
2016-11,82,33
2016-12,55,29
2017-01,54,33
2017-02,56,33
2017-03,70,37
2017-04,67,32
2017-05,56,36
2017-06,57,30
2017-07,37,26
2017-08,34,26
2017-09,44,30
2017-10,54,34
2017-11,58,40
2017-12,43,30
2018-01,47,31
2018-02,44,33
2018-03,49,36
2018-04,54,39
2018-05,51,40
2018-06,35,30
2018-07,33,25
2018-08,38,30
2018-09,40,31
2018-10,57,45
2018-11,61,41
2018-12,46,34
2019-01,44,35
2019-02,56,43
2019-03,63,46
2019-04,72,47
2019-05,85,47
2019-06,55,41
2019-07,48,39
2019-08,49,38
2019-09,80,49
2019-10,80,53
2019-11,83,61
2019-12,68,54
2020-01,81,66
2020-02,78,65
2020-03,60,54
2020-04,56,48
2020-05,55,53
2020-06,46,49
2020-07,46,47
2020-08,45,50
2020-09,64,68
2020-10,67,63
2020-11,71,64
2020-12,53,53
2021-01,50,60
2021-02,61,75
2021-03,61,76
2021-04,68,80
2021-05,64,79
2021-06,50,76
